age,country,visa_type,employment_status,financial_support,travel_history,purpose,duration,sponsorship,risk_score,risk_flag
19,India,Student,Employed,7490,2,Education,27,Yes,2.0,0
52,India,Tourist,Employed,6837,1,Leisure,21,Yes,2.0,0
32,Kenya,Tourist,Employed,4257,2,Family Visit,10,Yes,2.0,0
35,Egypt,Tourist,Student,2000,1,Leisure,10,No,3.0,0
35,USA,Work,Employed,3275,3,Employment,95,Yes,0.5,0
24,USA,Tourist,Employed,4366,1,Family Visit,14,No,1.0,0
34,Egypt,Tourist,Student,4198,2,Leisure,11,No,3.0,0
23,UK,Student,Student,4399,1,Education,29,No,1.0,0
54,USA,Work,Student,2204,2,Employment,245,Yes,0.5,0
60,Nigeria,Work,Student,8215,0,Employment,190,Yes,4.0,1
32,India,Tourist,Employed,2972,3,Family Visit,7,No,3.0,0
28,USA,Student,Employed,2608,1,Education,32,No,1.0,0
56,India,Work,Employed,7746,2,Employment,233,Yes,2.5,0
28,Kenya,Business,Employed,3482,3,Business Meeting,25,No,3.0,0
32,South Africa,Student,Student,2680,4,Education,12,No,2.0,0
20,Kenya,Student,Employed,8918,3,Education,41,Yes,2.0,0
38,Egypt,Work,Unemployed,800,0,Employment,176,Yes,6.5,1
59,UK,Business,Employed,6261,3,Business Meeting,25,Yes,0.0,0
52,South Africa,Student,Student,10433,1,Education,22,No,2.0,0
43,Egypt,Student,Employed,3574,7,Education,22,No,3.0,0
49,South Africa,Tourist,Student,3893,1,Leisure,11,Yes,1.0,0
45,Ghana,Tourist,Employed,6888,0,Family Visit,15,No,3.5,0
18,South Africa,Tourist,Unemployed,500,0,Family Visit,16,No,6.0,1
25,USA,Student,Employed,4971,3,Education,17,No,1.0,0
50,Germany,Work,Employed,6772,3,Employment,175,Yes,0.5,0
58,India,Student,Student,6180,0,Education,66,No,3.5,0
27,Kenya,Student,Student,7433,0,Education,26,No,3.5,0
18,South Africa,Student,Employed,5895,3,Education,12,Yes,1.0,0
37,USA,Work,Employed,8373,4,Employment,125,Yes,0.5,0
23,Egypt,Tourist,Student,4519,0,Leisure,20,No,3.5,0
26,South Africa,Work,Unemployed,1049,1,Employment,149,Yes,5.0,1
28,South Africa,Student,Employed,2000,1,Education,31,No,2.0,0
52,Kenya,Work,Student,3241,1,Employment,272,Yes,2.5,0
60,UK,Student,Employed,3650,6,Education,25,No,1.0,0
33,India,Work,Employed,5026,5,Employment,167,Yes,2.5,0
55,Nigeria,Work,Employed,7852,1,Employment,253,Yes,3.5,0
22,Nigeria,Tourist,Employed,6678,0,Leisure,19,No,4.5,1
50,India,Work,Employed,6879,0,Employment,137,Yes,3.0,0
31,Pakistan,Work,Student,6524,2,Employment,106,Yes,3.5,0
54,Egypt,Business,Employed,3075,6,Business Meeting,41,No,3.0,0
30,UK,Tourist,Employed,2000,2,Family Visit,8,No,1.0,0
47,UK,Tourist,Unemployed,1138,3,Leisure,19,Yes,3.5,0
24,USA,Work,Employed,7877,1,Employment,128,Yes,0.5,0
46,South Africa,Work,Employed,2787,4,Employment,208,Yes,1.5,0
47,Germany,Work,Student,5627,4,Employment,224,Yes,0.5,0
46,India,Tourist,Employed,4660,4,Leisure,19,No,3.0,0
28,Kenya,Business,Employed,6692,2,Business Meeting,17,Yes,2.0,0
21,UK,Work,Employed,7073,3,Employment,213,Yes,0.5,0
34,UK,Business,Employed,7545,9,Business Meeting,37,No,1.0,0
60,South Africa,Business,Employed,3681,1,Business Meeting,26,Yes,1.0,0
55,Nigeria,Tourist,Student,12943,2,Leisure,7,Yes,3.0,0
50,Pakistan,Work,Employed,3320,4,Employment,159,Yes,3.5,0
23,South Africa,Work,Employed,6136,4,Employment,140,Yes,1.5,0
33,India,Business,Employed,9144,2,Business Meeting,20,No,3.0,0
55,Kenya,Tourist,Unemployed,1252,1,Family Visit,20,No,6.5,1
51,Egypt,Student,Self-Employed,4575,3,Education,20,Yes,2.0,0
33,USA,Student,Employed,12366,2,Education,45,No,1.0,0
47,Germany,Student,Self-Employed,5287,0,Education,58,No,1.5,0
47,Nigeria,Tourist,Employed,2000,2,Leisure,7,No,4.0,1
40,Ghana,Tourist,Student,10629,0,Family Visit,23,Yes,2.5,0
52,Pakistan,Student,Unemployed,1720,3,Education,8,No,6.0,1
18,South Africa,Student,Self-Employed,6597,0,Education,20,Yes,1.5,0
34,Ghana,Tourist,Student,7941,3,Leisure,14,Yes,2.0,0
31,Egypt,Student,Employed,8060,4,Education,31,No,3.0,0
50,Germany,Business,Employed,6842,1,Business Meeting,20,No,1.0,0
23,Nigeria,Business,Student,4231,0,Business Meeting,42,Yes,3.5,0
26,USA,Student,Employed,8856,4,Education,51,No,1.0,0
53,UK,Tourist,Employed,8241,4,Leisure,18,No,1.0,0
55,USA,Work,Employed,10658,3,Employment,153,Yes,0.5,0
37,Nigeria,Student,Student,4430,2,Education,44,No,4.0,1
40,Nigeria,Work,Unemployed,1162,4,Employment,172,Yes,7.0,1
40,India,Business,Self-Employed,9614,3,Business Meeting,12,No,3.0,0
28,Kenya,Work,Student,3902,1,Employment,179,Yes,2.5,0
29,Nigeria,Student,Student,5072,0,Education,42,No,4.5,1
35,Kenya,Work,Student,7238,1,Employment,146,Yes,2.5,0
42,India,Tourist,Student,6734,0,Leisure,10,Yes,2.5,0
40,Pakistan,Student,Student,7677,0,Education,43,No,4.5,1
19,Kenya,Work,Employed,2000,5,Employment,95,Yes,2.5,0
22,Germany,Student,Employed,6932,2,Education,52,No,1.0,0
39,South Africa,Tourist,Employed,5093,1,Family Visit,13,Yes,1.0,0
20,Germany,Tourist,Employed,9813,3,Family Visit,19,No,1.0,0
45,USA,Tourist,Employed,4970,1,Leisure,17,Yes,0.0,0
18,UK,Work,Employed,6208,1,Employment,239,Yes,0.5,0
60,India,Student,Unemployed,1236,3,Education,30,No,6.5,1
37,India,Student,Unemployed,1600,1,Education,57,No,5.0,1
53,Germany,Work,Employed,5667,2,Employment,238,Yes,0.5,0
29,UK,Student,Employed,2000,1,Education,22,No,1.0,0
36,Germany,Work,Employed,7025,3,Employment,292,Yes,0.5,0
56,Egypt,Student,Employed,2039,2,Education,57,No,3.0,0
50,Kenya,Business,Student,5779,2,Business Meeting,25,No,3.0,0
60,Ghana,Tourist,Employed,2000,5,Family Visit,23,Yes,2.0,0
37,Kenya,Work,Student,6015,4,Employment,182,Yes,2.5,0
19,Ghana,Tourist,Employed,2000,3,Family Visit,17,No,3.0,0
47,India,Business,Student,6727,4,Business Meeting,60,No,3.0,0
49,UK,Business,Employed,5253,1,Business Meeting,44,No,1.0,0
24,Nigeria,Business,Employed,7936,2,Business Meeting,50,No,4.0,1
47,South Africa,Tourist,Employed,2000,5,Leisure,24,No,2.0,0
60,Pakistan,Student,Self-Employed,8944,2,Education,34,No,4.0,1
50,Egypt,Business,Student,2000,3,Business Meeting,29,No,3.0,0
48,Ghana,Business,Employed,2086,1,Business Meeting,40,Yes,2.0,0
51,Germany,Business,Unemployed,1183,1,Business Meeting,15,Yes,3.5,0
36,India,Work,Employed,5811,2,Employment,237,Yes,2.5,0
52,USA,Tourist,Employed,3553,1,Leisure,10,No,1.0,0
31,Ghana,Tourist,Employed,2000,3,Family Visit,12,No,3.0,0
21,UK,Work,Student,7543,0,Employment,252,Yes,1.0,0
55,UK,Tourist,Student,5663,2,Family Visit,12,No,1.0,0
37,USA,Business,Student,4358,2,Business Meeting,11,No,1.0,0
52,UK,Work,Employed,10934,0,Employment,165,Yes,1.0,0
45,Germany,Business,Employed,8554,3,Business Meeting,15,No,1.0,0
28,UK,Business,Self-Employed,10571,0,Business Meeting,-6,No,1.5,0
19,South Africa,Business,Employed,3730,0,Business Meeting,8,No,2.5,0
59,India,Business,Employed,2816,1,Business Meeting,20,No,3.0,0
34,Nigeria,Business,Employed,6654,3,Business Meeting,43,No,4.0,1
42,USA,Student,Student,13122,2,Education,45,No,1.0,0
23,Germany,Business,Employed,3373,2,Business Meeting,9,No,1.0,0
32,USA,Tourist,Student,6083,1,Leisure,14,No,1.0,0
30,Kenya,Tourist,Unemployed,770,0,Leisure,9,Yes,6.0,1
54,India,Work,Employed,4222,2,Employment,128,Yes,2.5,0
41,Germany,Work,Unemployed,500,1,Employment,221,Yes,4.0,1
28,India,Student,Employed,7170,3,Education,28,Yes,2.0,0
54,Germany,Business,Employed,7584,4,Business Meeting,33,No,1.0,0
55,India,Work,Employed,3710,2,Employment,71,Yes,2.0,0
56,Germany,Tourist,Student,2000,1,Leisure,19,No,1.0,0
60,UK,Student,Employed,14351,1,Education,5,No,1.0,0
44,Nigeria,Business,Employed,4194,5,Business Meeting,41,No,4.0,1
27,Pakistan,Business,Employed,6509,1,Business Meeting,31,No,4.0,1
57,Germany,Business,Employed,7464,3,Business Meeting,53,No,1.0,0
35,Egypt,Student,Student,5044,3,Education,25,No,3.0,0
35,India,Business,Employed,5189,4,Business Meeting,44,No,3.0,0
60,Egypt,Business,Employed,6055,3,Business Meeting,55,No,3.0,0
29,USA,Business,Employed,6706,0,Business Meeting,41,No,1.5,0
35,USA,Student,Employed,6495,1,Education,38,No,1.0,0
23,Kenya,Work,Student,7528,3,Employment,254,Yes,2.5,0
53,Pakistan,Work,Unemployed,500,1,Employment,130,Yes,7.0,1
46,Pakistan,Tourist,Employed,10529,3,Leisure,16,No,4.0,1
37,Kenya,Student,Employed,9860,1,Education,23,No,3.0,0
53,UK,Student,Employed,8891,4,Education,44,No,1.0,0
34,Germany,Work,Employed,2000,3,Employment,269,Yes,0.5,0
38,Kenya,Tourist,Student,13337,0,Leisure,14,Yes,2.5,0
35,Pakistan,Student,Self-Employed,11346,2,Education,38,No,4.0,1
32,Germany,Student,Employed,11646,5,Education,50,Yes,0.0,0
26,South Africa,Student,Employed,6167,2,Education,46,Yes,1.0,0
26,Germany,Business,Employed,9212,0,Business Meeting,21,Yes,0.5,0
48,Germany,Business,Employed,2963,4,Business Meeting,5,Yes,0.0,0
34,Nigeria,Business,Employed,2000,2,Business Meeting,26,Yes,3.0,0
22,Pakistan,Tourist,Employed,2000,3,Family Visit,13,Yes,3.0,0
25,Kenya,Business,Unemployed,865,0,Business Meeting,13,No,7.0,1
51,Kenya,Business,Employed,6002,1,Business Meeting,32,No,3.0,0
45,Egypt,Student,Employed,3652,2,Education,40,Yes,2.0,0
31,India,Work,Employed,5901,1,Employment,147,Yes,2.5,0
28,India,Work,Employed,5235,2,Employment,270,Yes,2.5,0
28,India,Tourist,Employed,2467,3,Family Visit,15,Yes,2.0,0
36,Kenya,Student,Student,8499,1,Education,10,No,3.0,0
34,Kenya,Work,Employed,7455,1,Employment,133,Yes,2.5,0
32,South Africa,Work,Self-Employed,3886,1,Employment,136,Yes,1.5,0
22,Ghana,Tourist,Employed,6296,1,Family Visit,13,No,3.0,0
36,Egypt,Business,Employed,4947,4,Business Meeting,26,No,3.0,0
35,UK,Business,Employed,2756,2,Business Meeting,39,No,1.0,0
38,UK,Student,Employed,2000,4,Education,56,Yes,0.0,0
55,Egypt,Tourist,Self-Employed,2000,3,Family Visit,18,No,3.0,0
